CALLE 1 ETP ESTRELLA CURAL NRO. -- FUNDO RUSTICO NRO 1264 LATERAL 12, UCHUMAYO, AREQUIPA, AREQUIPA
AV. BUENAVENTURA JULCA S.N. 3 CUADRAS DE LA PNP RURAL SANTOS, SANTO DOMINGO DE LA CAPILLA, CUTERVO, CAJAMARCA
CAS. MACHAYPUNGO ALTO S/N (REF.: A 200M DE LA I.E. 10985 MACHAYPUNGO ALTO), BAMBAMARCA, HUALGAYOC, CAJAMARCA
CAS. PUCALA MZA. N LOTE. 21 (FRENTEN IGLESIA CATOLICA-2PISOS-ADOBE), PIMPINGOS, CUTERVO, CAJAMARCA
JR. 27 DE MAYO SN (CENTRO POBLADO CHABARBAMBA A 50 METROS DE LA INSTITUCIÓN EDUCATIVA 10564), HUAMBOS, CHOTA, CAJAMARCA
JR. VICTOR RAUL S/N, SANTO TOMAS, CUTERVO, CAJAMARCA
CALLE COMERCIO S/N (SALIDA A QUEROCOTILLO, FRENTE AL PUESTO DE SALUD), QUEROCOTO, CHOTA, CAJAMARCA
C.P. YUNCHACO S/N (CA. LA VIÑA -FINAL DE CALLE-2PISOS-ADOBE), CUJILLO, CUTERVO, CAJAMARCA
CA. MUYA 00038 CPME. MUYA (REF.: A 100M DEL PUESTO DE SALUD MUYA), HUALGAYOC, HUALGAYOC, CAJAMARCA
AV. MAGISTERIAL C.P. YAUYUCAN S/N (EN LA ENTRADA DEL PUEBLO), YAUYUCAN, SANTA CRUZ, CAJAMARCA
AV. AVIACION S/N, SANTA CRUZ, SANTA CRUZ, CAJAMARCA
CALLE TACNA N° S/N, TOCMOCHE, CHOTA, CAJAMARCA
CALLE SOCOTA SN (A 20 MT DEL PARQUE CRUZ DEL RECUERDO), SANTO TOMAS, CUTERVO, CAJAMARCA
AV. CIRCUNVALACION MZA. 1A LOTE. 1, MIRACOSTA, CHOTA, CAJAMARCA
CALLE. PAN DE AZUCAR 198-CENTRO POBLADO IRACA GRANDE, CHOTA, CHOTA, CAJAMARCA
JR. JOSE ARANA 764, CHOTA, CHOTA, CAJAMARCA
JR. EXEQUIEL MONTOYA 853, CHOTA, CHOTA, CAJAMARCA
PASEO SAN MATEO S/N, CHOTA, CHOTA, CAJAMARCA
